dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
hopv,PyG_GAT_h128_e3,42,scaffold,test,0.6626653017075794,0.5680486291167363,-4.62343008248405,-3.716254972965229,-4.79739572563226,9.345,,3.0,0.001,32.0,3.0,,,128.0,gat,,,,,
ppb,PyG_GAT_h128_e100,42,scaffold,test,0.921067221324187,0.6129735816661038,0.1000421187774575,0.5157673440415314,0.3041423671229465,2548.674,,100.0,0.001,32.0,54.0,,,128.0,gat,,,,,
ppb,Multimodal_ChemBERTa_GIN_e20,42,scaffold,test,0.8649505955429896,0.5712721176822038,0.2063625837103709,0.910380784211181,0.4720602338352816,1200.55,,20.0,1e-05,16.0,20.0,2.0,,,,,,,,
ppb,Multimodal_ChemBERTa_GIN_e20,43,scaffold,test,0.8651049773664153,0.5512639839808675,0.2060792516300138,0.8497603232245394,0.4588978146131742,1201.594,,20.0,1e-05,16.0,10.0,2.0,,,,,,,,
ppb,Multimodal_ChemBERTa_GIN_e20,44,scaffold,test,0.8673291594294865,0.6019584902642686,0.2019916685077035,0.6404629014282288,0.4669703504570366,1220.951,,20.0,1e-05,16.0,5.0,2.0,,,,,,,,
hopv,Multimodal_ChemBERTa_GIN_e20,42,scaffold,test,0.5637598354184405,0.4615632547974292,-0.1950620757936631,0.6091490501341692,0.1724525082231891,534.288,,20.0,1e-05,16.0,20.0,2.0,,,,,,,,
hopv,Multimodal_ChemBERTa_GIN_e20,43,scaffold,test,0.5609418456611663,0.4552404138570719,-0.1263205646160534,0.485580786161778,0.1859393506301081,459.794,,20.0,1e-05,16.0,20.0,2.0,,,,,,,,
hopv,Multimodal_ChemBERTa_GIN_e20,44,scaffold,test,0.488805634728502,0.3996794423738103,0.0611707748152457,0.3332055265879187,0.2270519464782205,486.75,,20.0,1e-05,16.0,8.0,2.0,,,,,,,,
clearance,Multimodal_ChemBERTa_GIN_e20,42,scaffold,test,0.9441964752132492,0.7488299311815008,0.1395381496038901,0.2766702840494951,0.1900167677870399,790.165,,20.0,1e-05,16.0,2.0,2.0,,,,,,,,
clearance,Multimodal_ChemBERTa_GIN_e20,43,scaffold,test,1.012310293482712,0.7550920801447882,0.0109137230748225,0.907142862463098,0.1513565276720062,745.163,,20.0,1e-05,16.0,17.0,2.0,,,,,,,,
clearance,Multimodal_ChemBERTa_GIN_e20,44,scaffold,test,0.9521678706348016,0.7061627009672866,0.1249478904904334,0.9328306165763504,0.2095013504360378,746.782,,20.0,1e-05,16.0,17.0,2.0,,,,,,,,
ppb,RF_ensemble5_conformal,42,scaffold,test,1.0125948040157855,0.6953461007409033,-0.0877044766148669,0.8868034697661165,0.174644042179728,15.76,,,,,,,,,,0.9197530864197532,3.5227209832921167,0.1,5.0,ensemble_mean+split_conformal
clearance,RF_ensemble5_conformal,42,scaffold,test,0.932698924243675,0.738949932903781,0.1603663999604266,0.9086341998127436,0.2347457067216468,5.805,,,,,,,,,,0.8452380952380952,2.8802213910337633,0.1,5.0,ensemble_mean+split_conformal
hopv,RF_ensemble5_conformal,42,scaffold,test,0.6756410135681808,0.3872080193503909,0.3999203044202051,0.9205990431861756,0.4241073113764338,1.604,,,,,,,,,,0.9428571428571428,2.9834077809683786,0.1,5.0,ensemble_mean+split_conformal
ppb,PyG_GAT_h128_e100,43,scaffold,test,0.8964649797981388,0.5551187873783486,0.1474768366898432,0.3704324685211625,0.2721052746756013,832.771,,100.0,0.001,16.0,13.0,,,128.0,gat,,,,,
ppb,PyG_GAT_h128_e100,44,scaffold,test,0.8755102221551969,0.5359400921374743,0.1868662772445102,0.4227702484367064,0.2829906579373393,1399.899,,100.0,0.001,16.0,40.0,,,128.0,gat,,,,,
hopv,PyG_GAT_h128_e100,42,scaffold,test,0.4520530012858452,0.363047691780401,0.2961771789151481,0.4772715737342236,0.2946257103456321,1425.472,,100.0,0.001,16.0,93.0,,,128.0,gat,,,,,
hopv,PyG_GAT_h128_e100,43,scaffold,test,0.474736037474484,0.3805409317793409,0.1897941262674769,0.3983547242520464,0.3258321110326307,1390.28,,100.0,0.001,16.0,84.0,,,128.0,gat,,,,,
hopv,PyG_GAT_h128_e100,44,scaffold,test,0.4458696382745361,0.364143055244349,0.3091158426572122,0.4157807873477422,0.3023028209079131,1173.658,,100.0,0.001,16.0,62.0,,,128.0,gat,,,,,
