dataset,model,seed,epoch,loss,train_r2,valid_r2,path
ppb,PyG_GAT_h128_e100,44,62,0.6341609601621274,0.382949258009632,0.1448019686192474,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,63,0.6170795580119263,0.4258915068789827,0.2077996580450639,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,64,0.5941068982636487,0.388488857636614,0.1897050968957732,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,65,0.6212644426175106,0.510912390410988,0.2758010080776414,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,43,1,0.942129284143448,0.0405075575074823,-0.047574771746208,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,2,0.9007476310671112,0.1316245879157349,0.0446118257482732,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,3,0.844684350637742,0.2173453411205864,0.1248535118834984,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,4,0.8279734537189389,0.2050334496320243,0.1097801869330996,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,5,0.8187783511332524,0.1140087553628036,0.034653403981632,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,6,0.819253530215334,0.2826086430564613,0.2249527902591181,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,7,0.7589979666618654,0.2442366964781942,0.1474966167373815,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,8,0.768844048826047,0.2300273436645232,0.1337859261789341,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,9,0.7835665970672796,0.2980843645305969,0.1985873177535205,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,10,0.7556413848091055,0.3057610015358959,0.2185388870096648,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,11,0.7282356882904782,0.2978229339011522,0.1933601283219269,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,12,0.7225107911192341,0.285656238874905,0.1801104810414284,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,13,0.7331106191799964,0.3704324665443315,0.2721052730480646,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,14,0.7317701123746825,0.1910250209384942,0.0116754223296955,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,15,0.7154397826503824,0.3335739328686862,0.2394047386289549,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,16,0.7105416944365442,0.3531808672984775,0.1933557019007534,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,17,0.7017118557367796,0.3650813449541924,0.16987832756368,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,18,0.7220867493270356,0.2389372459599554,0.098288827241103,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,19,0.6980107949103838,0.3575080789815149,0.2246814375961219,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,20,0.7116592072042418,0.3755810425183596,0.2406278640848786,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,21,0.7032563171268981,0.3489516782878457,0.1919321136576735,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
